DAY,st-1996,st-1997,st-1998,st-1999,st-2000,st-2001,st-2002,st-2003,st-2004,st-2005,st-2006,st-2007,st-2008,st-2009,st-2010,st-2011,st-2012,st-2013,st-2014,st-2015,DAY,Year,,Max Temp Date,Max temp,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1996,,9/12/96,388.0569106,,75.00000,76,A76
7/1/18,14.28455285,4.325203252,6.739837398,0.642276423,4.967479675,2.447154472,6.414634146,0,0.235772358,7.642276423,9.951219512,9.601626016,2.487804878,14.00813008,0,6.723577236,20.3495935,0.333333333,6.056910569,1.699186992,7/1/18,1997,,9/21/97,410.9918699,,,,
7/2/18,27.56910569,12.6504065,10.4796748,0,11.93495935,7.894308943,12.82926829,0,0,13.28455285,19.90243902,9.203252033,6.975609756,23.01626016,0,15.44715447,28.69918699,3.666666667,15.11382114,5.398373984,7/2/18,1998,,9/17/98,271.4471545,,,,
7/3/18,40.85365854,23.97560976,17.2195122,3.642276423,20.90243902,13.34146341,16.24390244,5.520325203,4.235772358,15.92682927,29.85365854,5.804878049,15.46341463,31.02439024,0,25.17073171,43.04878049,0,18.17073171,1.097560976,7/3/18,1999,,9/15/99,469.1707317,,,,
7/4/18,47.13821138,33.30081301,23.95934959,8.284552846,31.8699187,15.78861789,21.65853659,10.04065041,10.47154472,18.56910569,37.80487805,6.406504065,22.95121951,41.03252033,0,31.89430894,56.39837398,0,18.22764228,2.796747967,7/4/18,2000,,8/31/00,456.9837398,,,,
7/5/18,52.42276423,35.62601626,30.69918699,14.92682927,43.83739837,20.23577236,31.07317073,8.56097561,18.70731707,24.21138211,44.75609756,9.008130081,28.43902439,40.04065041,0.788617886,36.61788618,71.74796748,1.333333333,20.28455285,3.495934959,7/5/18,2001,,9/23/01,365.0081301,,,,
7/6/18,61.70731707,37.95121951,35.43902439,22.56910569,55.80487805,25.68292683,40.48780488,11.08130081,26.94308943,22.85365854,42.70731707,10.6097561,27.92682927,46.04878049,2.577235772,41.34146341,85.09756098,2.666666667,23.34146341,4.195121951,7/6/18,2002,,9/17/02,427.7560976,,,,
7/7/18,70.99186992,31.27642276,44.17886179,21.21138211,67.77235772,31.1300813,45.90243902,16.60162602,34.17886179,15.49593496,39.65853659,7.211382114,33.41463415,51.05691057,9.365853659,50.06504065,93.44715447,0,28.39837398,10.89430894,7/7/18,2003,,9/5/03,327.8211382,,,,
7/8/18,78.27642276,36.60162602,54.91869919,23.85365854,74.7398374,38.57723577,51.31707317,25.12195122,39.41463415,20.13821138,38.6097561,3.81300813,40.90243902,52.06504065,19.15447154,58.78861789,103.796748,6.333333333,34.45528455,17.59349593,7/8/18,2004,,9/7/04,297.796748,,,,
7/9/18,87.56097561,38.92682927,65.65853659,27.49593496,86.70731707,48.02439024,57.73170732,32.64227642,45.6504065,25.7804878,39.56097561,7.414634146,47.3902439,55.07317073,27.94308943,64.51219512,116.1463415,12.66666667,40.51219512,25.29268293,7/9/18,2005,,10/4/05,301.6585366,,,,
7/10/18,96.84552846,44.25203252,72.39837398,31.13821138,101.6747967,53.47154472,65.14634146,35.16260163,52.88617886,20.42276423,40.51219512,8.016260163,51.87804878,58.08130081,30.73170732,71.23577236,126.495935,18,43.56910569,34.99186992,7/10/18,2006,,9/6/06,442.6829268,,,,
7/11/18,103.1300813,46.57723577,79.13821138,29.7804878,113.6422764,61.91869919,65.56097561,37.68292683,61.12195122,20.06504065,47.46341463,7.617886179,58.36585366,63.08943089,36.5203252,80.95934959,131.8455285,16.33333333,44.62601626,43.69105691,7/11/18,2007,,9/12/07,382.5203252,,,,
7/12/18,110.4146341,52.90243902,80.87804878,23.42276423,122.6097561,70.36585366,58.97560976,42.20325203,68.35772358,22.70731707,55.41463415,9.219512195,68.85365854,72.09756098,39.30894309,90.68292683,131.195122,21.66666667,50.68292683,53.3902439,7/12/18,2008,,9/14/08,374.0731707,,,,
7/13/18,119.699187,57.22764228,84.61788618,13.06504065,129.5772358,74.81300813,57.3902439,47.72357724,77.59349593,23.3495935,63.36585366,9.821138211,71.34146341,75.10569106,43.09756098,102.4065041,136.5447154,18,55.7398374,62.08943089,7/13/18,2009,,9/9/09,384.5772358,,,,
7/14/18,128.9837398,65.55284553,87.35772358,10.70731707,138.5447154,75.2601626,61.80487805,50.24390244,86.82926829,26.99186992,71.31707317,8.422764228,76.82926829,83.11382114,46.88617886,107.1300813,141.8943089,21.33333333,61.79674797,68.78861789,7/14/18,2010,,9/25/10,362.4552846,,,,
7/15/18,127.2682927,74.87804878,94.09756098,8.349593496,147.5121951,75.70731707,69.2195122,54.76422764,89.06504065,27.63414634,79.26829268,4.024390244,83.31707317,91.12195122,53.67479675,101.8536585,147.2439024,25.66666667,63.85365854,74.48780488,7/15/18,2011,,9/3/11,491.0325203,,,,
7/16/18,134.5528455,84.20325203,96.83739837,10.99186992,156.4796748,78.15447154,78.63414634,61.28455285,91.30081301,29.27642276,87.2195122,4.62601626,89.80487805,100.1300813,55.46341463,101.5772358,154.5934959,31,62.91056911,79.18699187,7/16/18,2012,,9/8/12,400.4715447,,,,
7/17/18,146.8373984,91.52845528,102.5772358,9.634146341,163.4471545,83.60162602,88.04878049,67.80487805,93.53658537,34.91869919,97.17073171,8.227642276,95.29268293,107.1382114,55.25203252,103.300813,162.9430894,40.33333333,64.96747967,88.88617886,7/17/18,2013,,9/20/13,306,,,,
7/18/18,158.1219512,98.85365854,109.3170732,13.27642276,176.4146341,90.04878049,97.46341463,74.32520325,98.77235772,41.56097561,107.1219512,11.82926829,102.7804878,108.1463415,51.04065041,107.0243902,171.2926829,45.66666667,63.02439024,97.58536585,7/18/18,2014,,9/13/14,271.2682927,,,,
7/19/18,170.4065041,106.1788618,120.0569106,17.91869919,192.3821138,98.49593496,106.8780488,80.84552846,101.0081301,47.20325203,120.0731707,14.43089431,111.2682927,107.1544715,53.82926829,115.7479675,177.6422764,54,64.08130081,105.2845528,7/19/18,2015,,9/11/15,420.0406504,,,,
7/20/18,185.6910569,114.504065,126.796748,24.56097561,207.3495935,103.9430894,114.2926829,87.36585366,107.2439024,52.84552846,130.0243902,15.03252033,122.7560976,108.1626016,57.61788618,121.4715447,176.9918699,58.33333333,56.13821138,114.9837398,7/20/18,,,,,,,,
7/21/18,192.9756098,121.8292683,133.5365854,31.20325203,216.3170732,106.3902439,125.7073171,94.88617886,114.4796748,59.48780488,139.9756098,15.63414634,135.2439024,113.1707317,64.40650407,128.195122,182.3414634,63.66666667,54.19512195,124.6829268,7/21/18,,,,,,,,
7/22/18,204.2601626,124.1544715,138.2764228,38.84552846,228.2845528,111.8373984,133.1219512,99.40650407,121.7154472,67.1300813,147.9268293,9.235772358,144.7317073,116.1788618,72.19512195,136.9186992,192.6910569,67,53.25203252,133.3821138,7/22/18,,,,,,,,
7/23/18,211.5447154,129.4796748,145.0162602,48.48780488,231.2520325,120.2845528,138.5365854,98.92682927,132.9512195,74.77235772,150.8780488,5.837398374,149.2195122,122.1869919,81.98373984,143.6422764,205.0406504,69.33333333,57.30894309,138.0813008,7/23/18,,,,,,,,
7/24/18,220.8292683,135.804878,151.7560976,58.1300813,229.2195122,122.7317073,141.9512195,99.44715447,146.1869919,81.41463415,154.8292683,7.43902439,154.7073171,129.195122,88.77235772,150.3658537,217.3902439,73.66666667,60.36585366,145.7804878,7/24/18,,,,,,,,
7/25/18,221.1138211,143.1300813,153.495935,65.77235772,220.1869919,123.1788618,142.3658537,101.9674797,153.4227642,90.05691057,159.7804878,9.040650407,161.195122,138.203252,96.56097561,155.0894309,230.7398374,81,64.42276423,152.4796748,7/25/18,,,,,,,,
7/26/18,221.398374,150.4552846,157.2357724,75.41463415,218.1544715,129.6260163,144.7804878,107.4878049,158.6585366,100.699187,169.7317073,10.64227642,165.6829268,149.2113821,104.3495935,163.8130081,244.0894309,85.33333333,69.4796748,160.1788618,7/26/18,,,,,,,,
7/27/18,219.6829268,159.7804878,152.9756098,85.05691057,222.1219512,138.0731707,150.195122,113.0081301,160.8943089,109.3414634,181.6829268,15.24390244,173.1707317,158.2195122,110.1382114,172.5365854,256.4390244,85.66666667,77.53658537,168.8780488,7/27/18,,,,,,,,
7/28/18,214.9674797,169.1056911,156.7154472,94.69918699,229.0894309,140.5203252,157.6097561,120.5284553,168.1300813,115.9837398,194.6341463,18.84552846,183.6585366,166.2276423,112.9268293,177.2601626,268.7886179,90,83.59349593,179.5772358,7/28/18,,,,,,,,
7/29/18,221.2520325,176.4308943,161.4552846,104.3414634,234.0569106,147.9674797,165.0243902,127.0487805,173.3658537,115.6260163,202.5853659,20.44715447,193.1463415,170.2357724,119.7154472,184.9837398,278.1382114,94.33333333,81.6504065,189.2764228,7/29/18,,,,,,,,
7/30/18,228.5365854,182.7560976,167.195122,117.9837398,237.0243902,155.4146341,169.4390244,129.5691057,180.601626,110.2682927,210.5365854,27.04878049,200.6341463,171.2439024,127.504065,195.7073171,289.4878049,102.6666667,81.70731707,199.9756098,7/30/18,,,,,,,,
7/31/18,231.8211382,173.0813008,168.9349593,133.6260163,238.9918699,160.8617886,175.8536585,136.0894309,188.8373984,110.9105691,221.4878049,31.6504065,206.1219512,175.2520325,135.2926829,206.4308943,292.8373984,101,82.76422764,209.6747967,7/31/18,,,,,,,,
8/1/18,234.1056911,171.4065041,170.6747967,146.2682927,240.9593496,163.3089431,185.2682927,138.6097561,198.0731707,109.5528455,233.4390244,38.25203252,212.6097561,183.2601626,144.0813008,212.1544715,302.1869919,106.3333333,79.82113821,215.3739837,8/1/18,,,,,,,,
8/2/18,240.3902439,173.7317073,168.4146341,155.9105691,237.9268293,165.7560976,192.6829268,141.1300813,206.3089431,112.195122,245.3902439,44.85365854,222.097561,185.2682927,140.8699187,222.8780488,316.5365854,113.6666667,79.87804878,226.0731707,8/2/18,,,,,,,,
8/3/18,240.6747967,180.0569106,168.1544715,160.5528455,237.8943089,168.203252,200.097561,143.6504065,215.5447154,116.8373984,259.3414634,53.45528455,230.5853659,194.2764228,145.6585366,234.601626,325.8861789,120,83.93495935,236.7723577,8/3/18,,,,,,,,
8/4/18,247.9593496,187.3821138,169.8943089,166.195122,241.8617886,172.6504065,207.5121951,144.1707317,224.7804878,124.4796748,274.2926829,65.05691057,239.0731707,205.2845528,153.4471545,234.3252033,328.2357724,128.3333333,89.99186992,250.4715447,8/4/18,,,,,,,,
8/5/18,257.2439024,193.7073171,175.6341463,173.8373984,248.8292683,179.097561,216.9268293,146.6910569,233.0162602,129.1219512,287.2439024,75.65853659,248.5609756,216.2926829,159.2357724,245.0487805,333.5853659,134.6666667,95.04878049,262.1707317,8/5/18,,,,,,,,
8/6/18,261.5284553,196.0325203,180.3739837,183.4796748,255.796748,181.5447154,230.3414634,147.2113821,235.2520325,131.7642276,293.195122,88.2601626,260.0487805,224.300813,165.0243902,252.7723577,334.9349593,141,103.1056911,266.8699187,8/6/18,,,,,,,,
8/7/18,268.8130081,198.3577236,185.1138211,193.1219512,262.7642276,185.9918699,233.7560976,149.7317073,234.4878049,128.4065041,307.1463415,100.8617886,267.5365854,234.3089431,168.8130081,260.495935,334.2845528,145.3333333,114.1626016,271.5691057,8/7/18,,,,,,,,
8/8/18,269.097561,196.6829268,186.8536585,202.7642276,269.7317073,192.4390244,237.1707317,152.2520325,234.7235772,127.0487805,320.097561,115.4634146,271.0243902,245.3170732,174.601626,269.2195122,341.6341463,146.6666667,120.2195122,280.2682927,8/8/18,,,,,,,,
8/9/18,275.3821138,188.0081301,184.5934959,210.4065041,281.699187,197.8861789,239.5853659,156.7723577,236.9593496,128.6910569,332.0487805,133.0650407,273.5121951,257.3252033,181.3902439,274.9430894,344.9837398,154,125.2764228,289.9674797,8/9/18,,,,,,,,
8/10/18,280.6666667,186.3333333,187.3333333,217.0487805,292.6666667,204.3333333,244,162.2926829,230.195122,128.3333333,345,150.6666667,276,269.3333333,188.1788618,284.6666667,347.3333333,162.3333333,127.3333333,300.6666667,8/10/18,,,,,,,,
8/11/18,284.9512195,190.6585366,191.0731707,229.6910569,297.6341463,208.7804878,249.4146341,164.8130081,230.4308943,131.9756098,349.9512195,165.2682927,281.4878049,283.3414634,195.9674797,293.3902439,347.6829268,170.6666667,126.3902439,308.3658537,8/11/18,,,,,,,,
8/12/18,287.2357724,196.9837398,190.8130081,244.3333333,302.601626,213.2276423,256.8292683,164.3333333,228.6666667,136.6178862,350.902439,169.8699187,279.9756098,288.3495935,203.7560976,303.1138211,351.0325203,179,130.4471545,315.0650407,8/12/18,,,,,,,,
8/13/18,287.5203252,203.3089431,192.5528455,257.9756098,307.5691057,212.6747967,264.2439024,169.8536585,223.902439,139.2601626,348.8536585,184.4715447,278.4634146,297.3577236,212.5447154,312.8373984,357.3821138,186.3333333,130.504065,320.7642276,8/13/18,,,,,,,,
8/14/18,289.804878,208.6341463,188.2926829,272.6178862,312.5365854,218.1219512,269.6585366,177.3739837,224.1382114,145.902439,352.804878,198.0731707,279.9512195,306.3658537,214.3333333,321.5609756,360.7317073,187.6666667,131.5609756,327.4634146,8/14/18,,,,,,,,
8/15/18,295.0894309,214.9593496,186.0325203,282.2601626,322.504065,220.5691057,274.0731707,185.8943089,224.3739837,154.5447154,355.7560976,214.6747967,284.4390244,315.3739837,217.1219512,324.2845528,361.0813008,179,134.6178862,334.1626016,8/15/18,,,,,,,,
8/16/18,301.3739837,224.2845528,187.7723577,291.902439,335.4715447,229.0162602,280.4878049,190.4146341,226.6097561,160.1869919,361.7073171,230.2764228,287.9268293,322.3821138,219.9105691,329.0081301,367.4308943,164.3333333,138.6747967,340.8617886,8/16/18,,,,,,,,
8/17/18,308.6585366,233.6097561,187.5121951,304.5447154,350.4390244,238.4634146,287.902439,197.9349593,230.8455285,166.8292683,364.6585366,245.8780488,290.4146341,328.3902439,223.699187,335.7317073,369.7804878,148.6666667,143.7317073,346.5609756,8/17/18,,,,,,,,
8/18/18,315.9430894,240.9349593,190.2520325,319.1869919,367.4065041,247.9105691,297.3170732,206.4552846,235.0813008,173.4715447,369.6097561,257.4796748,293.902439,335.398374,229.4878049,344.4552846,372.1300813,144,148.7886179,351.2601626,8/18/18,,,,,,,,
8/19/18,322.2276423,248.2601626,195.9918699,333.8292683,384.3739837,253.3577236,304.7317073,214.9756098,242.3170732,179.1138211,374.5609756,267.0813008,301.3902439,344.4065041,234.2764228,355.1788618,371.4796748,144.3333333,150.8455285,356.9593496,8/19/18,,,,,,,,
8/20/18,327.5121951,254.5853659,190.7317073,339.4715447,397.3414634,257.804878,314.1463415,220.495935,248.5528455,187.7560976,384.5121951,277.6829268,308.8780488,351.4146341,240.0650407,362.902439,370.8292683,146.6666667,155.902439,361.6585366,8/20/18,,,,,,,,
8/21/18,333.796748,254.9105691,190.4715447,347.1138211,400.3089431,264.2520325,323.5609756,227.0162602,248.7886179,198.398374,392.4634146,291.2845528,311.3658537,358.4227642,245.8536585,371.6260163,374.1788618,149,163.9593496,367.3577236,8/21/18,,,,,,,,
8/22/18,341.0813008,252.2357724,193.2113821,354.7560976,402.2764228,272.699187,330.9756098,233.5365854,251.0243902,208.0406504,397.4146341,309.8861789,310.8536585,362.4308943,252.6422764,384.3495935,373.5284553,155.3333333,173.0162602,376.0569106,8/22/18,,,,,,,,
8/23/18,348.3658537,251.5609756,195.9512195,361.398374,406.2439024,279.1463415,342.3902439,242.0569106,253.2601626,211.6829268,401.3658537,322.4878049,306.3414634,362.4390244,258.4308943,391.0731707,376.8780488,163.6666667,182.0731707,379.7560976,8/23/18,,,,,,,,
8/24/18,355.6504065,251.8861789,199.6910569,358.0406504,414.2113821,290.5934959,351.804878,249.5772358,258.495935,213.3252033,401.3170732,332.0894309,306.8292683,367.4471545,261.2195122,398.796748,378.2276423,166,186.1300813,385.4552846,8/24/18,,,,,,,,
8/25/18,355.9349593,254.2113821,205.4308943,356.6829268,422.1788618,299.0406504,359.2195122,256.097561,258.7317073,213.9674797,403.2682927,340.6910569,302.3170732,373.4552846,263.0081301,408.5203252,378.5772358,166.3333333,186.1869919,386.1544715,8/25/18,,,,,,,,
8/26/18,360.2195122,259.5365854,212.1707317,362.3252033,428.1463415,308.4878049,363.6341463,263.6178862,262.9674797,214.6097561,408.2195122,347.2926829,302.804878,382.4634146,265.796748,422.2439024,383.9268293,166.6666667,188.2439024,388.8536585,8/26/18,,,,,,,,
8/27/18,360.504065,267.8617886,216.9105691,366.9674797,434.1138211,317.9349593,364.0487805,272.1382114,269.203252,217.2520325,413.1707317,349.8943089,300.2926829,384.4715447,267.5853659,431.9674797,389.2764228,171,192.300813,390.5528455,8/27/18,,,,,,,,
8/28/18,362.7886179,276.1869919,222.6504065,373.6097561,442.0813008,317.3821138,362.4634146,281.6585366,277.4390244,219.8943089,420.1219512,352.495935,303.7804878,378.4796748,267.3739837,441.6910569,384.6260163,179.3333333,199.3577236,390.2520325,8/28/18,,,,,,,,
8/29/18,367.0731707,285.5121951,231.3902439,381.2520325,450.0487805,321.8292683,360.8780488,289.1788618,282.6747967,221.5365854,427.0731707,356.097561,310.2682927,383.4878049,264.1626016,449.4146341,385.9756098,189.6666667,207.4146341,387.9512195,8/29/18,,,,,,,,
